source,target,weight
Military Forces of Myanmar (2021-) People's Militia Force,ABSDF: All Burma Students' Democratic Front,1
Military Forces of Myanmar (2021-) People's Militia Force,People's Defense Force - Myingyan District,1
Military Forces of Myanmar (2021-) People's Militia Force,RCSS/SSA-S: Restoration Council of Shan State/Shan State Army-South,1
Military Forces of Myanmar (2021-) People's Militia Force,Chinland Defense Force - Hakha,1
Government of Myanmar (2021-) State Administration Council,People's Security Force,1
Government of Myanmar (2021-) State Administration Council,KNDO: Karen National Defence Organization,1
Government of Myanmar (2021-) State Administration Council,ABSDF: All Burma Students' Democratic Front,1
KNPP/KA: Karenni National Progressive Party/Karenni Army,Military Forces of Myanmar (2021-) People's Militia Force,1
Government of Myanmar (2021-) State Administration Council,People's Defense Force - Shwebo District,1
SNA: Shanni Nationalities Army,People's Defense Force - Yinmarbin District,1
Military Forces of Myanmar (2021-) Border Guard Force,People's Defense Force - Pakokku District,1
Military Forces of Myanmar (2021-) Border Guard Force,People's Defense Force - Monywa District,1
SNA: Shanni Nationalities Army,People's Defense Force - Monywa District,1
SNA: Shanni Nationalities Army,People's Defense Force - Shwebo District,1
SNA: Shanni Nationalities Army,People's Defense Force - Sagaing District,1
Chinland Defense Force - Mindat,Chinland Defense Force - Hakha,1
